"id";"H11_score";"H11_p.value";"H11_fdr";"H11_rank";"H11_goodsrna";"H11_lfc";"H51_score";"H51_p.vaHue";"H51_fdr";"H51_rank";"H51_goodsrna";"H51_lfc";"H12_score";"H12_p.value";"H12_fdr";"H12_rank";"H12_goodsrna";"H12_lfc";"H52_score";"H52_p.vaHue";"H52_fdr";"H52_rank";"H52_goodsrna";"H52_lfc"
"Atp5a1";0,0038464;0,013482;0,765843;345;3;1,8437;0,00074426;0,0027198;0,414805;128;3;2,8569;1,3634e-05;5,41e-05;0,133045;8;4;1,6534;7,9468e-07;2,7679e-06;0,018152;3;4;2,2914
"Cops6";9,2231e-07;2,7679e-06;0,018152;3;4;2,2119;0,17681;0,32047;0,999919;6208;2;1,3398;0,032067;0,08181;0,973413;1653;2;1,5564;0,47946;0,62711;0,999911;12192;1;1,0963
"Cycs";3,0449e-06;1,1323e-05;0,044554;5;3;2,2662;0,0039539;0,013822;0,699023;386;2;2,5264;0,0073097;0,024898;0,849966;572;3;1,3038;0,010711;0,035722;0,928659;746;2;1,9202
"E2f4";0,050404;0,11969;0,999996;2307;3;0,8747;0,046727;0,1155;0,98378;2298;3;1,5454;0,0010618;0,0038481;0,612257;123;4;1,324;2,5279e-07;1,2581e-06;0,012376;2;4;2,087
"Elac2";0,29397;0,42956;0,999996;8341;2;0,67812;1,1841e-06;4,2776e-06;0,012023;6;4;2,5542;0,0020821;0,0074429;0,699228;208;4;1,1028;0,051057;0,12644;0,967642;2567;3;0,99887
"Flcn";0,00049916;0,0018492;0,432207;83;3;1,6763;5,0829e-08;2,5163e-07;0,00165;3;4;2,8173;0,020759;0,057869;0,938328;1205;3;0,85183;0,00030894;0,0011582;0,437045;51;4;1,4753
"Gins2";0,00045781;0,0016967;0,431236;76;3;2,1173;4,0252e-06;1,4343e-05;0,032453;8;4;2,6306;0,11061;0,22588;0,999998;4346;2;1,0523;0,76226;0,77825;0,999911;15177;1;0,74894
"Hist1h4n";0,024442;0,066256;0,950683;1364;3;1,2724;4,6188e-06;1,7865e-05;0,035149;10;3;3,5762;0,041847;0,10205;0,999909;2003;2;1,4343;0,29403;0,44673;0,999911;8668;2;0,77493
"Lamtor4";0,016685;0,049539;0,924796;1041;2;1,4494;2,5139e-05;0,00010241;0,133973;15;4;2,5025;2,1636e-05;8,8824e-05;0,15575;11;4;1,4593;0,005742;0,019775;0,881735;433;3;1,5212
"Lsm11";0,002339;0,0083683;0,651949;249;4;1,484;6,0423e-07;2,2646e-06;0,008911;5;3;3,8146;0,058827;0,1361;0,999998;2651;2;1,3014;0,00011518;0,00045368;0,318777;28;3;2,1593
"Lztr1";0,0001516;0,00060315;0,304878;38;4;1,3977;4,0374e-05;0,00015827;0,14694;21;4;2,3439;4,3823e-06;1,6356e-05;0,095297;3;4;1,7344;0,0020876;0,007468;0,711513;206;4;1,4555
