Probe	Chromosome	Start	End	Probe Strand	Feature	ID	Description	Feature Strand	Type	Feature Orientation	Distance	Difference (Difference between any and any above 1)	0	0.625	1.25	2.5	5	10	20	40
A830018L16Rik	1	11414105	11975901	+	null					Not found	0	1.1754286	1.855948	1.5369718	1.2361522	1.3632803	1.294367	0.6805193	1.2156242	1.0531325
Prdm14	1	13113457	13127163	-	null					Not found	0	1.002666	5.005579	4.7643547	4.55808	4.4901767	4.36064	4.108381	4.0965195	4.002913
Paqr8	1	20890606	20939650	+	null					Not found	0	1.034354	1.9438958	1.5043057	1.5428134	1.3392348	1.3665167	1.0024475	1.1631567	0.9095418
Hs6st1	1	36068400	36106446	+	null					Not found	0	1.2670941	6.1991525	5.882923	5.3625393	5.405143	4.982423	4.9320583	4.979074	4.9324255
Aff3	1	38177326	38664955	-	null					Not found	0	1.1055651	0.5945615	1.3777733	1.144729	1.3392348	1.7001265	1.2423981	1.6561967	1.5600927
Tbc1d8	1	39371492	39478755	-	null					Not found	0	1.2952746	2.9282987	2.6557581	2.197678	2.3023982	1.8163196	1.7558073	1.7658212	1.6330241
Nab1	1	52457294	52500679	-	null					Not found	0	1.1380821	1.8804704	2.1219344	2.3748057	2.3331604	2.6138268	2.8806589	2.7833087	3.0185525
Ankrd44	1	54645340	54926387	-	null					Not found	0	1.9623325	2.888553	2.359626	1.734179	1.2645961	1.4574252	1.4976552	1.1764537	0.9262204
Nrp2	1	62703285	62818695	+	null					Not found	0	2.953267	2.3934216	3.4452972	4.228221	4.555553	4.9138503	5.207065	5.3181624	5.3466887
Zdbf2	1	63273265	63314576	+	null					Not found	0	1.1763945	5.101704	5.685202	5.717279	5.9782333	5.9675174	6.012716	6.2371993	6.2780986
Adam23	1	63445891	63596276	+	null					Not found	0	2.6326416	3.703945	5.4417076	5.772859	6.0359397	6.008025	6.117528	6.295871	6.3365865
Ptprn	1	75247027	75264502	-	null					Not found	0	1.275923	1.4600194	2.0558453	1.7608141	1.9679791	2.0089648	2.473077	2.5781944	2.7359424
Speg	1	75375297	75432320	+	null					Not found	0	1.340347	1.0194468	1.0855926	1.380542	1.6042883	1.8248816	2.1461828	2.2284482	2.359794
Obsl1	1	75479310	75506452	-	null					Not found	0	1.1686969	3.468132	3.8350174	3.9559312	4.283621	4.224902	4.4123235	4.5919046	4.636829
B3gnt7	1	86302832	86307305	+	null					Not found	0	1.5684085	4.5197806	5.4250793	5.5485578	5.767472	5.7732835	5.9329596	6.088189	6.0607057
Ackr3	1	90203980	90216751	+	null					Not found	0	2.5644796	3.156281	2.6206298	2.261243	1.5212326	1.3428655	0.7959965	0.8512128	0.59180135
Crocc2	1	93168725	93231072	+	null					Not found	0	1.8672621	-0.46598002	0.7376693	0.4476562	0.55294156	1.4012821	0.780055	1.0806946	0.7870577
Sned1	1	93235841	93301065	+	null					Not found	0	2.5240574	-0.38580972	0.94661623	1.2736269	1.5941643	2.1382477	1.780055	1.9781249	2.1126335
Slco4c1	1	96816270	96872171	-	null					Not found	0	1.029335	2.8435287	2.7470071	2.6606498	2.4102015	2.3428655	2.2938263	2.3390064	1.8141937
Phlpp1	1	106171752	106394250	+	null					Not found	0	1.0344229	3.1795242	3.0670726	2.6416667	2.5581594	2.1451013	2.30501	2.3271325	2.3901675
Inhbb	1	119415465	119422248	-	null					Not found	0	1.6735668	2.2185183	2.7609017	3.336953	3.6317694	3.7001266	3.8254204	3.892085	3.8884184
Steap3	1	120190757	120272705	-	null					Not found	0	1.5816777	4.0249567	3.6483023	3.4200704	3.1344151	3.053359	2.780055	2.5731761	2.443279
Cd55	1	130439027	130462744	-	null					Not found	0	1.2919788	3.2751017	3.1782417	2.9110568	2.8873606	2.4240022	2.2938263	2.1961718	1.9831228
Slc45a3	1	131962967	131982969	+	null					Not found	0	1.192396	1.449131	1.6900513	1.3690464	1.1858842	0.6528209	0.49765524	1.2026851	0.87559426
